"periodo";"Total"
"2007";137.29525
"2008";139.782
"2009";134.4405
"2010";131.10825
"2011";123.6105
"2012";107.1735
"2013";97.95325
"2014";96.71075
"2015";99.99975
"2016";103.34375
"2017";107.88825
"2018";113.27625
"2019";117.587
"2020";118.96
