"Comunidades","periodo","Total"
"Extremadura","2016","18504343"
"Extremadura","2017","19534814"
"Extremadura","2018","20088238"
"Extremadura","2019","20677010"
"Extremadura","2020","19385729"
"Galicia","2007","56108957"
"Galicia","2008","58358648"
"Galicia","2009","56303675"
"Galicia","2010","56767263"
"Galicia","2011","55767991"
"Galicia","2012","53971849"
"Galicia","2013","53925394"
"Galicia","2014","54190333"
"Galicia","2015","56666599"
"Galicia","2016","58279948"
"Galicia","2017","60394810"
"Galicia","2018","62436133"
"Galicia","2019","64429878"
"Galicia","2020","59105226"
"Illes Balears","2007","26461916"
"Illes Balears","2008","27574628"
"Illes Balears","2009","26478337"
"Illes Balears","2010","26535097"
"Illes Balears","2011","26398144"
"Illes Balears","2012","25979358"
"Illes Balears","2013","25931407"
"Illes Balears","2014","26769837"
"Illes Balears","2015","28245574"
"Illes Balears","2016","29831313"
"Illes Balears","2017","31383376"
"Illes Balears","2018","32767619"
"Illes Balears","2019","33799767"
"Illes Balears","2020","26789155"
"La Rioja","2007","7946155"
"La Rioja","2008","8247306"
"La Rioja","2009","7893077"
"La Rioja","2010","7977333"
"La Rioja","2011","7907440"
"La Rioja","2012","7636210"
"La Rioja","2013","7539145"
"La Rioja","2014","7685969"
"La Rioja","2015","7962438"
"La Rioja","2016","8014694"
"La Rioja","2017","8295191"
"La Rioja","2018","8593185"
"La Rioja","2019","8867069"
"La Rioja","2020","8128883"
"Melilla","2007","1354257"
"Melilla","2008","1403440"
"Melilla","2009","1396649"
"Melilla","2010","1415709"
"Melilla","2011","1417774"
"Melilla","2012","1369832"
"Melilla","2013","1389601"
"Melilla","2014","1402792"
"Melilla","2015","1461285"
"Melilla","2016","1506101"
"Melilla","2017","1519867"
"Melilla","2018","1582540"
"Melilla","2019","1621435"
"Melilla","2020","1508520"
"Pais Vasco","2007","64281602"
"Pais Vasco","2008","66779471"
"Pais Vasco","2009","63926115"
"Pais Vasco","2010","64680368"
"Pais Vasco","2011","64130843"
"Pais Vasco","2012","62558828"
"Pais Vasco","2013","61625767"
"Pais Vasco","2014","62677248"
"Pais Vasco","2015","64989988"
"Pais Vasco","2016","67126912"
"Pais Vasco","2017","69657915"
"Pais Vasco","2018","72029560"
"Pais Vasco","2019","74495916"
"Pais Vasco","2020","66558211"
"Principado de Asturias","2007","23105938"
"Principado de Asturias","2008","23844408"
"Principado de Asturias","2009","22541896"
"Principado de Asturias","2010","22733586"
"Principado de Asturias","2011","22375426"
"Principado de Asturias","2012","21364846"
"Principado de Asturias","2013","20746770"
"Principado de Asturias","2014","20652899"
"Principado de Asturias","2015","21372587"
"Principado de Asturias","2016","21694246"
"Principado de Asturias","2017","22592548"
"Principado de Asturias","2018","23258673"
"Principado de Asturias","2019","23765248"
"Principado de Asturias","2020","21474791"
"Region de Murcia","2007","27985381"
